age,weight,height,sex,distance,time,first distance,first time,first days before main event,second distance,second time,second days before main event
40.0,45.0,1.56,F,21.0975,98.78333333333333,10.0,43.766666666666666,14.0,5.0,20.933333333333334,151.0
40.0,45.0,1.56,F,21.0975,103.1,10.0,44.55,126.0,5.0,20.45,154.0
39.0,45.0,1.56,F,21.0975,99.81666666666666,10.0,44.65,154.0,5.0,20.333333333333332,12.0
38.0,45.0,1.56,F,21.0975,101.85,10.0,45.733333333333334,119.0,5.0,22.633333333333333,126.0
36.0,45.0,1.56,F,21.0975,97.0,10.0,43.85,28.0,5.0,21.6,63.0
36.0,50.0,1.61,F,21.0975,81.88333333333334,10.0,38.18333333333333,114.0,5.0,18.2,49.0
50.0,66.0,1.76,M,21.0975,97.08333333333333,10.0,39.016666666666666,14.0,5.0,19.366666666666667,112.0
34.0,71.0,1.75,M,21.0975,86.11666666666666,10.0,38.61666666666667,119.0,5.0,18.033333333333335,115.0
32.0,71.0,1.75,M,21.0975,85.8,10.0,38.46666666666667,140.0,5.0,18.4,133.0
29.0,71.0,1.75,M,21.0975,89.4,10.0,40.483333333333334,15.0,5.0,19.583333333333332,161.0
44.0,64.0,1.66,M,21.0975,88.91666666666667,10.0,40.766666666666666,141.0,5.0,19.5,86.0
46.0,77.0,1.87,M,21.0975,81.88333333333334,10.0,36.21666666666667,98.0,5.0,17.366666666666667,168.0
45.0,77.0,1.87,M,21.0975,83.1,10.0,36.833333333333336,14.0,5.0,17.75,126.0
44.0,77.0,1.87,M,21.0975,84.1,10.0,37.21666666666667,133.0,5.0,17.633333333333333,147.0
41.0,77.0,1.87,M,21.0975,88.46666666666667,10.0,38.85,133.0,5.0,18.35,98.0
40.0,77.0,1.87,M,21.0975,89.15,10.0,39.75,119.0,5.0,18.25,127.0
22.0,88.0,1.86,M,21.0975,124.0,10.0,51.43333333333333,28.0,5.0,22.533333333333335,144.0
21.0,88.0,1.86,M,21.0975,101.51666666666667,10.0,46.766666666666666,14.0,5.0,21.783333333333335,35.0
29.0,59.0,1.71,M,21.0975,86.65,10.0,38.016666666666666,162.0,5.0,18.333333333333332,49.0
51.0,74.0,1.86,M,21.0975,90.31666666666666,10.0,40.083333333333336,127.0,5.0,19.916666666666668,168.0
51.0,74.0,1.86,M,21.0975,89.41666666666667,10.0,39.416666666666664,106.0,5.0,19.683333333333334,127.0
47.0,69.0,1.74,M,21.0975,78.11666666666666,10.0,35.85,28.0,5.0,17.25,71.0
54.0,78.0,1.78,M,21.0975,108.65,10.0,39.31666666666667,21.0,5.0,18.95,85.0
38.0,65.0,1.71,M,21.0975,124.95,10.0,37.1,175.0,5.0,17.116666666666667,28.0
35.0,65.0,1.71,M,21.0975,77.93333333333334,10.0,35.7,119.0,5.0,16.483333333333334,113.0
48.0,69.0,1.7,M,21.0975,122.55,10.0,49.05,84.0,5.0,24.183333333333334,8.0
53.0,77.0,1.75,M,21.0975,98.46666666666667,10.0,43.93333333333333,154.0,5.0,21.266666666666666,8.0
27.0,66.0,1.78,M,21.0975,83.88333333333334,10.0,37.3,21.0,5.0,17.9,49.0
44.0,51.0,1.6,F,21.0975,83.41666666666667,10.0,36.516666666666666,115.0,5.0,17.933333333333334,171.0
43.0,51.0,1.6,F,21.0975,104.6,10.0,38.38333333333333,119.0,5.0,18.733333333333334,50.0
52.0,70.0,1.79,M,21.0975,81.4,10.0,37.43333333333333,133.0,5.0,18.183333333333334,176.0
50.0,70.0,1.79,M,21.0975,86.53333333333333,10.0,36.333333333333336,154.0,5.0,17.25,28.0
48.0,70.0,1.79,M,21.0975,92.2,10.0,37.38333333333333,14.0,5.0,17.716666666666665,142.0
24.0,45.0,1.6,F,21.0975,78.95,10.0,34.1,77.0,5.0,16.833333333333332,154.0
24.0,73.0,1.79,M,21.0975,80.13333333333334,10.0,36.25,34.0,5.0,17.683333333333334,112.0
36.0,51.0,1.67,F,21.0975,100.6,10.0,44.68333333333333,35.0,5.0,21.833333333333332,92.0
29.0,58.0,1.76,M,21.0975,70.8,10.0,31.983333333333334,17.0,5.0,15.9,157.0
40.0,68.0,1.72,M,21.0975,79.68333333333334,10.0,34.96666666666667,62.0,5.0,16.516666666666666,34.0
64.0,72.0,1.78,M,21.0975,113.31666666666666,10.0,53.18333333333333,28.0,5.0,24.366666666666667,14.0
63.0,72.0,1.78,M,21.0975,111.7,10.0,50.25,28.0,5.0,24.433333333333334,14.0
42.0,76.0,1.8,M,21.0975,81.81666666666666,10.0,35.483333333333334,112.0,5.0,17.383333333333333,168.0
47.0,62.0,1.67,M,21.0975,79.4,10.0,35.28333333333333,35.0,5.0,17.283333333333335,63.0
54.0,73.0,1.78,M,21.0975,80.35,10.0,36.13333333333333,112.0,5.0,17.316666666666666,126.0
53.0,73.0,1.78,M,21.0975,81.01666666666667,10.0,36.416666666666664,76.0,5.0,17.3,58.0
52.0,73.0,1.78,M,21.0975,80.86666666666666,10.0,36.016666666666666,34.0,5.0,16.816666666666666,51.0
48.0,73.0,1.78,M,21.0975,85.2,10.0,36.916666666666664,77.0,5.0,17.716666666666665,63.0
42.0,70.0,1.85,M,21.0975,81.11666666666666,10.0,35.916666666666664,42.0,5.0,17.683333333333334,14.0
28.0,63.0,1.83,M,21.0975,75.85,10.0,33.35,126.0,5.0,16.416666666666668,140.0
51.0,64.0,1.74,M,21.0975,85.3,10.0,37.4,119.0,5.0,18.05,114.0
27.0,55.0,1.6,F,21.0975,86.76666666666667,10.0,38.13333333333333,91.0,5.0,18.383333333333333,126.0
32.0,63.0,1.81,M,21.0975,68.28333333333333,10.0,29.6,133.0,5.0,14.7,98.0
34.0,73.0,1.76,M,21.0975,80.3,10.0,35.833333333333336,14.0,5.0,17.083333333333332,35.0
22.0,53.0,1.58,F,21.0975,88.71666666666667,10.0,40.983333333333334,63.0,5.0,20.183333333333334,84.0
36.0,48.0,1.59,F,21.0975,85.56666666666666,10.0,37.416666666666664,147.0,5.0,17.4,58.0
48.0,63.0,1.78,M,21.0975,98.9,10.0,40.233333333333334,98.0,5.0,19.716666666666665,161.0
39.0,56.0,1.7,M,21.0975,70.73333333333333,10.0,32.03333333333333,84.0,5.0,15.95,112.0
21.0,65.0,1.75,M,21.0975,102.9,10.0,35.63333333333333,77.0,5.0,16.85,20.0
56.0,65.0,1.73,M,21.0975,91.08333333333333,10.0,41.31666666666667,140.0,5.0,20.25,175.0
40.0,72.0,1.82,M,21.0975,81.1,10.0,36.233333333333334,119.0,5.0,17.816666666666666,126.0
34.0,72.0,1.82,M,21.0975,93.45,10.0,44.083333333333336,133.0,5.0,19.483333333333334,98.0
32.0,72.0,1.82,M,21.0975,92.9,10.0,40.03333333333333,119.0,5.0,18.95,155.0
51.0,80.0,1.75,M,21.0975,102.23333333333333,10.0,42.56666666666667,98.0,5.0,21.233333333333334,85.0
41.0,53.0,1.55,F,21.0975,107.16666666666667,10.0,47.416666666666664,147.0,5.0,22.35,85.0
42.0,55.0,1.62,M,21.0975,87.46666666666667,10.0,38.0,153.0,5.0,18.6,62.0
41.0,55.0,1.62,M,21.0975,93.26666666666667,10.0,41.166666666666664,140.0,5.0,19.4,175.0
32.0,69.0,1.8,M,21.0975,79.36666666666666,10.0,34.766666666666666,22.0,5.0,16.683333333333334,147.0
20.0,66.0,1.83,M,21.0975,77.11666666666666,10.0,35.083333333333336,14.0,5.0,17.2,148.0
27.0,45.0,1.6,M,21.0975,87.86666666666666,10.0,40.3,120.0,5.0,19.55,147.0
42.0,69.0,1.65,M,21.0975,98.21666666666667,10.0,43.3,116.0,5.0,21.516666666666666,154.0
48.0,55.0,1.57,F,21.0975,103.51666666666667,10.0,40.81666666666667,28.0,5.0,19.85,140.0
34.0,50.0,1.64,M,21.0975,79.16666666666667,10.0,33.916666666666664,76.0,5.0,16.466666666666665,111.0
33.0,50.0,1.64,M,21.0975,72.26666666666667,10.0,33.95,14.0,5.0,16.466666666666665,21.0
52.0,83.0,1.82,M,21.0975,103.78333333333333,10.0,43.333333333333336,29.0,5.0,21.6,99.0
40.0,72.0,1.7,M,21.0975,79.06666666666666,10.0,36.11666666666667,35.0,5.0,17.983333333333334,161.0
39.0,73.0,1.85,M,21.0975,80.13333333333334,10.0,36.333333333333336,175.0,5.0,17.983333333333334,63.0
48.0,72.0,1.81,M,21.0975,92.91666666666667,10.0,42.55,175.0,5.0,20.283333333333335,142.0
34.0,65.0,1.75,M,21.0975,72.13333333333334,10.0,32.733333333333334,56.0,5.0,15.883333333333333,21.0
33.0,65.0,1.75,M,21.0975,72.46666666666667,10.0,33.75,92.0,5.0,15.983333333333333,7.0
32.0,70.0,1.68,M,21.0975,80.11666666666666,10.0,35.45,133.0,5.0,17.4,77.0
31.0,70.0,1.68,M,21.0975,93.08333333333333,10.0,34.96666666666667,23.0,5.0,17.45,37.0
23.0,70.0,1.68,M,21.0975,110.41666666666667,10.0,39.71666666666667,44.0,5.0,18.733333333333334,119.0
34.0,72.0,1.81,M,21.0975,109.95,10.0,43.36666666666667,28.0,5.0,20.466666666666665,120.0
34.0,61.0,1.69,M,21.0975,81.31666666666666,10.0,36.516666666666666,119.0,5.0,18.133333333333333,140.0
36.0,59.0,1.76,M,21.0975,84.86666666666666,10.0,35.016666666666666,175.0,5.0,16.366666666666667,161.0
37.0,62.0,1.73,M,21.0975,74.18333333333334,10.0,33.46666666666667,7.0,5.0,16.633333333333333,28.0
22.0,80.0,1.83,M,21.0975,89.0,10.0,37.35,22.0,5.0,17.633333333333333,175.0
35.0,77.0,1.85,M,21.0975,93.86666666666666,10.0,40.06666666666667,119.0,5.0,19.866666666666667,91.0
26.0,73.0,1.85,M,21.0975,82.35,10.0,36.1,17.0,5.0,16.833333333333332,35.0
30.0,60.0,1.76,M,21.0975,82.0,10.0,35.166666666666664,118.0,5.0,16.45,104.0
49.0,62.0,1.72,M,21.0975,76.41666666666667,10.0,34.266666666666666,84.0,5.0,16.25,120.0
