age,weight,height,sex,distance,time,first distance,first time,first days before main event,second distance,second time,second days before main event
48.0,69.0,1.69,M,42.195,189.48333333333332,21.0975,88.41666666666667,50.0,10.0,39.0,171.0
46.0,69.0,1.69,M,42.195,207.76666666666668,21.0975,92.95,35.0,10.0,40.53333333333333,63.0
43.0,66.0,1.84,M,42.195,174.51666666666668,21.0975,79.88333333333334,50.0,10.0,35.95,64.0
60.0,60.0,1.83,M,42.195,217.11666666666667,21.0975,94.96666666666667,126.0,10.0,42.166666666666664,169.0
50.0,57.0,1.68,M,42.195,168.36666666666667,21.0975,80.4,21.0,10.0,36.65,147.0
44.0,69.0,1.8,M,42.195,202.5,21.0975,93.23333333333333,85.0,10.0,40.8,70.0
42.0,84.0,1.9,M,42.195,186.18333333333334,21.0975,82.51666666666667,161.0,10.0,36.266666666666666,84.0
33.0,84.0,1.9,M,42.195,177.3,21.0975,80.98333333333333,56.0,10.0,36.38333333333333,42.0
32.0,84.0,1.9,M,42.195,265.0,21.0975,83.61666666666666,35.0,10.0,36.766666666666666,14.0
31.0,58.0,1.68,M,42.195,158.81666666666666,21.0975,73.01666666666667,84.0,10.0,33.516666666666666,119.0
31.0,67.0,1.81,M,42.195,175.06666666666666,21.0975,81.41666666666667,55.0,10.0,37.766666666666666,12.0
23.0,67.0,1.81,M,42.195,188.58333333333334,21.0975,80.91666666666667,28.0,10.0,36.96666666666667,42.0
26.0,69.0,1.7,M,42.195,212.83333333333334,21.0975,98.01666666666667,77.0,10.0,39.333333333333336,21.0
49.0,62.0,1.66,M,42.195,186.88333333333333,21.0975,84.86666666666666,35.0,10.0,39.05,50.0
47.0,62.0,1.66,M,42.195,184.66666666666666,21.0975,86.83333333333333,49.0,10.0,39.266666666666666,37.0
34.0,62.0,1.75,M,42.195,167.75,21.0975,76.96666666666667,21.0,10.0,36.43333333333333,35.0
33.0,62.0,1.75,M,42.195,169.91666666666666,21.0975,78.36666666666666,28.0,10.0,35.86666666666667,35.0
61.0,71.0,1.85,M,42.195,259.23333333333335,21.0975,116.1,119.0,10.0,47.86666666666667,106.0
58.0,71.0,1.85,M,42.195,224.35,21.0975,103.48333333333333,141.0,10.0,45.88333333333333,120.0
58.0,71.0,1.85,M,42.195,230.98333333333332,21.0975,98.85,56.0,10.0,45.63333333333333,98.0
57.0,71.0,1.85,M,42.195,230.36666666666667,21.0975,98.38333333333334,28.0,10.0,44.266666666666666,161.0
56.0,71.0,1.85,M,42.195,222.13333333333333,21.0975,104.78333333333333,83.0,10.0,44.0,55.0
55.0,71.0,1.85,M,42.195,211.65,21.0975,96.98333333333333,49.0,10.0,44.0,14.0
55.0,71.0,1.85,M,42.195,223.78333333333333,21.0975,97.66666666666667,35.0,10.0,44.6,42.0
54.0,71.0,1.85,M,42.195,217.55,21.0975,104.23333333333333,177.0,10.0,45.63333333333333,28.0
26.0,64.0,1.77,M,42.195,179.91666666666666,21.0975,77.28333333333333,49.0,10.0,36.516666666666666,21.0
43.0,69.0,1.69,M,42.195,199.7,21.0975,94.76666666666667,70.0,10.0,40.36666666666667,90.0
44.0,65.0,1.8,M,42.195,201.51666666666668,21.0975,78.91666666666667,14.0,10.0,35.5,168.0
38.0,65.0,1.8,M,42.195,175.98333333333332,21.0975,80.3,49.0,10.0,35.53333333333333,113.0
36.0,65.0,1.8,M,42.195,186.66666666666666,21.0975,80.15,21.0,10.0,36.03333333333333,35.0
30.0,62.0,1.8,M,42.195,193.45,21.0975,82.26666666666667,63.0,10.0,35.61666666666667,175.0
33.0,58.0,1.7,M,42.195,162.36666666666667,21.0975,77.6,35.0,10.0,36.03333333333333,107.0
50.0,90.0,2.02,M,42.195,226.76666666666668,21.0975,94.45,42.0,10.0,41.43333333333333,147.0
36.0,51.0,1.61,F,42.195,219.48333333333332,21.0975,100.56666666666666,35.0,10.0,46.88333333333333,78.0
45.0,69.0,1.8,M,42.195,199.63333333333333,21.0975,86.0,70.0,10.0,38.666666666666664,42.0
43.0,69.0,1.8,M,42.195,192.43333333333334,21.0975,83.26666666666667,64.0,10.0,38.31666666666667,21.0
33.0,68.0,1.75,M,42.195,202.23333333333332,21.0975,92.33333333333333,7.0,10.0,39.85,126.0
66.0,61.0,1.72,M,42.195,213.3,21.0975,92.85,42.0,10.0,43.416666666666664,35.0
63.0,61.0,1.72,M,42.195,195.18333333333334,21.0975,92.3,56.0,10.0,40.083333333333336,42.0
